

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%394, mode: 1, baseline: 2035.969400, time: 1994.070000, offp: 2.057958, speedup: 1.021012
%400, mode: 0, baseline: 2035.969400, time: 2036.290000, offp: -0.015747, speedup: 0.999843
%400, mode: 1, baseline: 2035.969400, time: 1993.663000, offp: 2.077949, speedup: 1.021220
%409, mode: 0, baseline: 2035.969400, time: 2035.926000, offp: 0.002132, speedup: 1.000021
%409, mode: 1, baseline: 2035.969400, time: 1984.087000, offp: 2.548290, speedup: 1.026149
%415, mode: 0, baseline: 2035.969400, time: 2036.126000, offp: -0.007692, speedup: 0.999923
%415, mode: 1, baseline: 2035.969400, time: 1980.928000, offp: 2.703449, speedup: 1.027786
%421, mode: 0, baseline: 2035.969400, time: 2036.140000, offp: -0.008379, speedup: 0.999916
%421, mode: 1, baseline: 2035.969400, time: 1981.295000, offp: 2.685423, speedup: 1.027595
%427, mode: 0, baseline: 2035.969400, time: 2035.950000, offp: 0.000953, speedup: 1.000010
%427, mode: 1, baseline: 2035.969400, time: 1982.695000, offp: 2.616660, speedup: 1.026870
%433, mode: 0, baseline: 2035.969400, time: 2036.011000, offp: -0.002043, speedup: 0.999980
%433, mode: 1, baseline: 2035.969400, time: 1980.968000, offp: 2.701485, speedup: 1.027765
%439, mode: 0, baseline: 2035.969400, time: 2035.746000, offp: 0.010973, speedup: 1.000110
%439, mode: 1, baseline: 2035.969400, time: 1984.889000, offp: 2.508898, speedup: 1.025735
%445, mode: 0, baseline: 2035.969400, time: 2035.823000, offp: 0.007191, speedup: 1.000072
%445, mode: 1, baseline: 2035.969400, time: 1977.795000, offp: 2.857332, speedup: 1.029414
%451, mode: 0, baseline: 2035.969400, time: 2035.796000, offp: 0.008517, speedup: 1.000085
%451, mode: 1, baseline: 2035.969400, time: 1980.799000, offp: 2.709785, speedup: 1.027853
%457, mode: 0, baseline: 2035.969400, time: 2036.226000, offp: -0.012603, speedup: 0.999874
%457, mode: 1, baseline: 2035.969400, time: 1980.720000, offp: 2.713666, speedup: 1.027894
%461, mode: 0, baseline: 2035.969400, time: 2035.536000, offp: 0.021287, speedup: 1.000213
%461, mode: 1, baseline: 2035.969400, time: 1984.449000, offp: 2.530510, speedup: 1.025962
%467, mode: 0, baseline: 2035.969400, time: 2035.709000, offp: 0.012790, speedup: 1.000128
%467, mode: 1, baseline: 2035.969400, time: 1981.820000, offp: 2.659637, speedup: 1.027323
%473, mode: 0, baseline: 2035.969400, time: 2035.944000, offp: 0.001248, speedup: 1.000012
%473, mode: 1, baseline: 2035.969400, time: 1982.314000, offp: 2.635374, speedup: 1.027067
%479, mode: 0, baseline: 2035.969400, time: 2035.373000, offp: 0.029293, speedup: 1.000293
%479, mode: 1, baseline: 2035.969400, time: 1981.265000, offp: 2.686897, speedup: 1.027611
%485, mode: 0, baseline: 2035.969400, time: 2035.965000, offp: 0.000216, speedup: 1.000002
%485, mode: 1, baseline: 2035.969400, time: 1985.476000, offp: 2.480067, speedup: 1.025431
%491, mode: 0, baseline: 2035.969400, time: 2035.934000, offp: 0.001739, speedup: 1.000017
%491, mode: 1, baseline: 2035.969400, time: 1983.960000, offp: 2.554528, speedup: 1.026215
%497, mode: 0, baseline: 2035.969400, time: 2035.336000, offp: 0.031110, speedup: 1.000311
%497, mode: 1, baseline: 2035.969400, time: 1984.797000, offp: 2.513417, speedup: 1.025782
%503, mode: 0, baseline: 2035.969400, time: 2036.247000, offp: -0.013635, speedup: 0.999864
%503, mode: 1, baseline: 2035.969400, time: 1983.076000, offp: 2.597947, speedup: 1.026672
%512, mode: 0, baseline: 2035.969400, time: 2035.603000, offp: 0.017996, speedup: 1.000180
%512, mode: 1, baseline: 2035.969400, time: 1963.530000, offp: 3.557981, speedup: 1.036892
%518, mode: 0, baseline: 2035.969400, time: 2035.490000, offp: 0.023547, speedup: 1.000236
%518, mode: 1, baseline: 2035.969400, time: 1962.267000, offp: 3.620015, speedup: 1.037560
%524, mode: 0, baseline: 2035.969400, time: 2035.317000, offp: 0.032044, speedup: 1.000321
%524, mode: 1, baseline: 2035.969400, time: 1961.880000, offp: 3.639023, speedup: 1.037764
%530, mode: 0, baseline: 2035.969400, time: 2036.226000, offp: -0.012603, speedup: 0.999874
%530, mode: 1, baseline: 2035.969400, time: 1961.495000, offp: 3.657933, speedup: 1.037968
%536, mode: 0, baseline: 2035.969400, time: 2036.224000, offp: -0.012505, speedup: 0.999875
%536, mode: 1, baseline: 2035.969400, time: 1962.187000, offp: 3.623944, speedup: 1.037602
%542, mode: 0, baseline: 2035.969400, time: 2036.197000, offp: -0.011179, speedup: 0.999888
%542, mode: 1, baseline: 2035.969400, time: 1963.978000, offp: 3.535977, speedup: 1.036656
%548, mode: 0, baseline: 2035.969400, time: 2036.471000, offp: -0.024637, speedup: 0.999754
%548, mode: 1, baseline: 2035.969400, time: 1963.692000, offp: 3.550024, speedup: 1.036807
%554, mode: 0, baseline: 2035.969400, time: 2035.843000, offp: 0.006208, speedup: 1.000062
%554, mode: 1, baseline: 2035.969400, time: 1963.913000, offp: 3.539169, speedup: 1.036690
%560, mode: 0, baseline: 2035.969400, time: 2036.139000, offp: -0.008330, speedup: 0.999917
%560, mode: 1, baseline: 2035.969400, time: 1965.019000, offp: 3.484846, speedup: 1.036107
%564, mode: 0, baseline: 2035.969400, time: 2035.908000, offp: 0.003016, speedup: 1.000030
%564, mode: 1, baseline: 2035.969400, time: 1960.413000, offp: 3.711077, speedup: 1.038541
%570, mode: 0, baseline: 2035.969400, time: 2035.748000, offp: 0.010874, speedup: 1.000109
%570, mode: 1, baseline: 2035.969400, time: 1960.928000, offp: 3.685782, speedup: 1.038268
%576, mode: 0, baseline: 2035.969400, time: 2035.710000, offp: 0.012741, speedup: 1.000127
%576, mode: 1, baseline: 2035.969400, time: 1962.218000, offp: 3.622422, speedup: 1.037586
%582, mode: 0, baseline: 2035.969400, time: 2036.184000, offp: -0.010540, speedup: 0.999895
%582, mode: 1, baseline: 2035.969400, time: 1966.746000, offp: 3.400022, speedup: 1.035197
%588, mode: 0, baseline: 2035.969400, time: 2035.748000, offp: 0.010874, speedup: 1.000109
%588, mode: 1, baseline: 2035.969400, time: 1965.343000, offp: 3.468932, speedup: 1.035936
%594, mode: 0, baseline: 2035.969400, time: 2035.717000, offp: 0.012397, speedup: 1.000124
%594, mode: 1, baseline: 2035.969400, time: 1957.198000, offp: 3.868987, speedup: 1.040247
%600, mode: 0, baseline: 2035.969400, time: 2035.617000, offp: 0.017309, speedup: 1.000173
%600, mode: 1, baseline: 2035.969400, time: 1959.766000, offp: 3.742856, speedup: 1.038884
%606, mode: 0, baseline: 2035.969400, time: 2035.752000, offp: 0.010678, speedup: 1.000107
%606, mode: 1, baseline: 2035.969400, time: 1957.366000, offp: 3.860736, speedup: 1.040158
%615, mode: 0, baseline: 2035.969400, time: 2035.487000, offp: 0.023694, speedup: 1.000237
%615, mode: 1, baseline: 2035.969400, time: 1933.830000, offp: 5.016745, speedup: 1.052817
%621, mode: 0, baseline: 2035.969400, time: 2035.803000, offp: 0.008173, speedup: 1.000082
%621, mode: 1, baseline: 2035.969400, time: 1930.114000, offp: 5.199263, speedup: 1.054844
%627, mode: 0, baseline: 2035.969400, time: 2035.885000, offp: 0.004145, speedup: 1.000041
%627, mode: 1, baseline: 2035.969400, time: 1924.331000, offp: 5.483304, speedup: 1.058014
%633, mode: 0, baseline: 2035.969400, time: 2036.307000, offp: -0.016582, speedup: 0.999834
%633, mode: 1, baseline: 2035.969400, time: 1924.963000, offp: 5.452263, speedup: 1.057667
%639, mode: 0, baseline: 2035.969400, time: 2035.640000, offp: 0.016179, speedup: 1.000162
%639, mode: 1, baseline: 2035.969400, time: 1920.167000, offp: 5.687826, speedup: 1.060309
%645, mode: 0, baseline: 2035.969400, time: 2035.355000, offp: 0.030177, speedup: 1.000302
%645, mode: 1, baseline: 2035.969400, time: 1930.006000, offp: 5.204567, speedup: 1.054903
%651, mode: 0, baseline: 2035.969400, time: 2035.370000, offp: 0.029441, speedup: 1.000294
