

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%292, mode: 0, baseline: 494.455200, time: 494.622000, offp: -0.033734, speedup: 0.999663
%292, mode: 1, baseline: 494.455200, time: 492.531000, offp: 0.389156, speedup: 1.003907
%298, mode: 0, baseline: 494.455200, time: 494.714000, offp: -0.052340, speedup: 0.999477
%298, mode: 1, baseline: 494.455200, time: 492.318000, offp: 0.432233, speedup: 1.004341
%304, mode: 0, baseline: 494.455200, time: 494.290000, offp: 0.033411, speedup: 1.000334
%304, mode: 1, baseline: 494.455200, time: 492.627000, offp: 0.369740, speedup: 1.003711
%310, mode: 0, baseline: 494.455200, time: 494.447000, offp: 0.001658, speedup: 1.000017
%310, mode: 1, baseline: 494.455200, time: 492.696000, offp: 0.355786, speedup: 1.003571
%316, mode: 0, baseline: 494.455200, time: 494.743000, offp: -0.058205, speedup: 0.999418
%316, mode: 1, baseline: 494.455200, time: 492.639000, offp: 0.367313, speedup: 1.003687
%322, mode: 0, baseline: 494.455200, time: 494.874000, offp: -0.084699, speedup: 0.999154
%322, mode: 1, baseline: 494.455200, time: 492.570000, offp: 0.381268, speedup: 1.003827
%328, mode: 0, baseline: 494.455200, time: 494.876000, offp: -0.085104, speedup: 0.999150
%328, mode: 1, baseline: 494.455200, time: 492.298000, offp: 0.436278, speedup: 1.004382
%334, mode: 0, baseline: 494.455200, time: 494.822000, offp: -0.074183, speedup: 0.999259
%334, mode: 1, baseline: 494.455200, time: 492.493000, offp: 0.396841, speedup: 1.003984
%338, mode: 0, baseline: 494.455200, time: 494.583000, offp: -0.025847, speedup: 0.999742
%338, mode: 1, baseline: 494.455200, time: 492.746000, offp: 0.345673, speedup: 1.003469
%344, mode: 0, baseline: 494.455200, time: 494.429000, offp: 0.005299, speedup: 1.000053
%344, mode: 1, baseline: 494.455200, time: 492.436000, offp: 0.408369, speedup: 1.004100
%350, mode: 0, baseline: 494.455200, time: 494.504000, offp: -0.009869, speedup: 0.999901
%350, mode: 1, baseline: 494.455200, time: 492.604000, offp: 0.374392, speedup: 1.003758
%356, mode: 0, baseline: 494.455200, time: 494.785000, offp: -0.066700, speedup: 0.999333
%356, mode: 1, baseline: 494.455200, time: 492.763000, offp: 0.342235, speedup: 1.003434
%362, mode: 0, baseline: 494.455200, time: 494.573000, offp: -0.023824, speedup: 0.999762
%362, mode: 1, baseline: 494.455200, time: 492.378000, offp: 0.420099, speedup: 1.004219
%368, mode: 0, baseline: 494.455200, time: 494.613000, offp: -0.031914, speedup: 0.999681
%368, mode: 1, baseline: 494.455200, time: 492.697000, offp: 0.355583, speedup: 1.003569
%374, mode: 0, baseline: 494.455200, time: 494.828000, offp: -0.075396, speedup: 0.999247
%374, mode: 1, baseline: 494.455200, time: 492.531000, offp: 0.389156, speedup: 1.003907
%380, mode: 0, baseline: 494.455200, time: 494.553000, offp: -0.019779, speedup: 0.999802
%380, mode: 1, baseline: 494.455200, time: 492.533000, offp: 0.388751, speedup: 1.003903
%387, mode: 0, baseline: 494.455200, time: 494.397000, offp: 0.011771, speedup: 1.000118
%387, mode: 1, baseline: 494.455200, time: 492.289000, offp: 0.438098, speedup: 1.004400
%393, mode: 0, baseline: 494.455200, time: 494.829000, offp: -0.075598, speedup: 0.999245
%393, mode: 1, baseline: 494.455200, time: 492.052000, offp: 0.486030, speedup: 1.004884
%399, mode: 0, baseline: 494.455200, time: 494.704000, offp: -0.050318, speedup: 0.999497
%399, mode: 1, baseline: 494.455200, time: 491.958000, offp: 0.505041, speedup: 1.005076
%405, mode: 0, baseline: 494.455200, time: 494.536000, offp: -0.016341, speedup: 0.999837
%405, mode: 1, baseline: 494.455200, time: 492.077000, offp: 0.480974, speedup: 1.004833
%411, mode: 0, baseline: 494.455200, time: 494.558000, offp: -0.020791, speedup: 0.999792
%411, mode: 1, baseline: 494.455200, time: 492.276000, offp: 0.440727, speedup: 1.004427
%417, mode: 0, baseline: 494.455200, time: 494.490000, offp: -0.007038, speedup: 0.999930
%417, mode: 1, baseline: 494.455200, time: 492.119000, offp: 0.472480, speedup: 1.004747
%423, mode: 0, baseline: 494.455200, time: 494.581000, offp: -0.025442, speedup: 0.999746
%423, mode: 1, baseline: 494.455200, time: 492.228000, offp: 0.450435, speedup: 1.004525
%429, mode: 0, baseline: 494.455200, time: 494.808000, offp: -0.071351, speedup: 0.999287
%429, mode: 1, baseline: 494.455200, time: 492.131000, offp: 0.470053, speedup: 1.004723
%435, mode: 0, baseline: 494.455200, time: 494.731000, offp: -0.055779, speedup: 0.999443
%435, mode: 1, baseline: 494.455200, time: 491.849000, offp: 0.527085, speedup: 1.005299
%439, mode: 0, baseline: 494.455200, time: 494.656000, offp: -0.040610, speedup: 0.999594
%439, mode: 1, baseline: 494.455200, time: 492.057000, offp: 0.485019, speedup: 1.004874
%445, mode: 0, baseline: 494.455200, time: 494.400000, offp: 0.011164, speedup: 1.000112
%445, mode: 1, baseline: 494.455200, time: 491.950000, offp: 0.506659, speedup: 1.005092
%451, mode: 0, baseline: 494.455200, time: 495.104000, offp: -0.131215, speedup: 0.998690
%451, mode: 1, baseline: 494.455200, time: 492.080000, offp: 0.480367, speedup: 1.004827
%457, mode: 0, baseline: 494.455200, time: 494.359000, offp: 0.019456, speedup: 1.000195
%457, mode: 1, baseline: 494.455200, time: 492.007000, offp: 0.495131, speedup: 1.004976
%463, mode: 0, baseline: 494.455200, time: 494.626000, offp: -0.034543, speedup: 0.999655
%463, mode: 1, baseline: 494.455200, time: 492.420000, offp: 0.411605, speedup: 1.004133
%469, mode: 0, baseline: 494.455200, time: 494.539000, offp: -0.016948, speedup: 0.999831
%469, mode: 1, baseline: 494.455200, time: 492.604000, offp: 0.374392, speedup: 1.003758
%475, mode: 0, baseline: 494.455200, time: 494.609000, offp: -0.031105, speedup: 0.999689
%475, mode: 1, baseline: 494.455200, time: 492.467000, offp: 0.402099, speedup: 1.004037
%481, mode: 0, baseline: 494.455200, time: 495.073000, offp: -0.124946, speedup: 0.998752
%481, mode: 1, baseline: 494.455200, time: 492.194000, offp: 0.457311, speedup: 1.004594
%488, mode: 0, baseline: 494.455200, time: 494.558000, offp: -0.020791, speedup: 0.999792
%488, mode: 1, baseline: 494.455200, time: 486.182000, offp: 1.673195, speedup: 1.017017
%494, mode: 0, baseline: 494.455200, time: 494.346000, offp: 0.022085, speedup: 1.000221
%494, mode: 1, baseline: 494.455200, time: 486.111000, offp: 1.687554, speedup: 1.017165
%500, mode: 0, baseline: 494.455200, time: 494.573000, offp: -0.023824, speedup: 0.999762
%500, mode: 1, baseline: 494.455200, time: 486.067000, offp: 1.696453, speedup: 1.017257
%506, mode: 0, baseline: 494.455200, time: 494.542000, offp: -0.017555, speedup: 0.999824
%506, mode: 1, baseline: 494.455200, time: 486.226000, offp: 1.664296, speedup: 1.016925
%512, mode: 0, baseline: 494.455200, time: 494.823000, offp: -0.074385, speedup: 0.999257
%512, mode: 1, baseline: 494.455200, time: 486.087000, offp: 1.692408, speedup: 1.017215
%518, mode: 0, baseline: 494.455200, time: 494.765000, offp: -0.062655, speedup: 0.999374
%518, mode: 1, baseline: 494.455200, time: 486.135000, offp: 1.682700, speedup: 1.017115
%524, mode: 0, baseline: 494.455200, time: 494.487000, offp: -0.006431, speedup: 0.999936
%524, mode: 1, baseline: 494.455200, time: 485.901000, offp: 1.730025, speedup: 1.017605
%530, mode: 0, baseline: 494.455200, time: 494.679000, offp: -0.045262, speedup: 0.999548
%530, mode: 1, baseline: 494.455200, time: 486.042000, offp: 1.701509, speedup: 1.017310
%536, mode: 0, baseline: 494.455200, time: 494.746000, offp: -0.058812, speedup: 0.999412
%536, mode: 1, baseline: 494.455200, time: 486.252000, offp: 1.659038, speedup: 1.016870
%540, mode: 0, baseline: 494.455200, time: 494.646000, offp: -0.038588, speedup: 0.999614
%540, mode: 1, baseline: 494.455200, time: 485.752000, offp: 1.760159, speedup: 1.017917
%546, mode: 0, baseline: 494.455200, time: 494.745000, offp: -0.058610, speedup: 0.999414
%546, mode: 1, baseline: 494.455200, time: 485.982000, offp: 1.713644, speedup: 1.017435
%552, mode: 0, baseline: 494.455200, time: 494.683000, offp: -0.046071, speedup: 0.999540
%552, mode: 1, baseline: 494.455200, time: 486.163000, offp: 1.677038, speedup: 1.017056
%558, mode: 0, baseline: 494.455200, time: 494.616000, offp: -0.032521, speedup: 0.999675
%558, mode: 1, baseline: 494.455200, time: 485.918000, offp: 1.726587, speedup: 1.017569
%564, mode: 0, baseline: 494.455200, time: 494.316000, offp: 0.028152, speedup: 1.000282
%564, mode: 1, baseline: 494.455200, time: 485.681000, offp: 1.774519, speedup: 1.018066
%570, mode: 0, baseline: 494.455200, time: 494.994000, offp: -0.108968, speedup: 0.998912
%570, mode: 1, baseline: 494.455200, time: 486.092000, offp: 1.691397, speedup: 1.017205
%576, mode: 0, baseline: 494.455200, time: 494.301000, offp: 0.031186, speedup: 1.000312
%576, mode: 1, baseline: 494.455200, time: 485.914000, offp: 1.727396, speedup: 1.017578
%582, mode: 0, baseline: 494.455200, time: 494.437000, offp: 0.003681, speedup: 1.000037
%582, mode: 1, baseline: 494.455200, time: 485.932000, offp: 1.723756, speedup: 1.017540
%589, mode: 0, baseline: 494.455200, time: 494.583000, offp: -0.025847, speedup: 0.999742
%589, mode: 1, baseline: 494.455200, time: 489.607000, offp: 0.980514, speedup: 1.009902
%595, mode: 0, baseline: 494.455200, time: 494.540000, offp: -0.017150, speedup: 0.999829
%595, mode: 1, baseline: 494.455200, time: 489.460000, offp: 1.010243, speedup: 1.010206
