

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%475, mode: 0, baseline: 494.136400, time: 493.673000, offp: 0.093780, speedup: 1.000939
%475, mode: 1, baseline: 494.136400, time: 491.934000, offp: 0.445707, speedup: 1.004477
%481, mode: 0, baseline: 494.136400, time: 494.114000, offp: 0.004533, speedup: 1.000045
%481, mode: 1, baseline: 494.136400, time: 492.074000, offp: 0.417375, speedup: 1.004191
%488, mode: 0, baseline: 494.136400, time: 494.511000, offp: -0.075809, speedup: 0.999242
%488, mode: 1, baseline: 494.136400, time: 485.926000, offp: 1.661566, speedup: 1.016896
%494, mode: 0, baseline: 494.136400, time: 494.135000, offp: 0.000283, speedup: 1.000003
%494, mode: 1, baseline: 494.136400, time: 485.958000, offp: 1.655090, speedup: 1.016829
%500, mode: 0, baseline: 494.136400, time: 494.120000, offp: 0.003319, speedup: 1.000033
%500, mode: 1, baseline: 494.136400, time: 485.972000, offp: 1.652256, speedup: 1.016800
%506, mode: 0, baseline: 494.136400, time: 494.084000, offp: 0.010604, speedup: 1.000106
%506, mode: 1, baseline: 494.136400, time: 486.090000, offp: 1.628376, speedup: 1.016553
%512, mode: 0, baseline: 494.136400, time: 494.037000, offp: 0.020116, speedup: 1.000201
%512, mode: 1, baseline: 494.136400, time: 486.124000, offp: 1.621496, speedup: 1.016482
%518, mode: 0, baseline: 494.136400, time: 494.271000, offp: -0.027239, speedup: 0.999728
%518, mode: 1, baseline: 494.136400, time: 485.968000, offp: 1.653066, speedup: 1.016809
%524, mode: 0, baseline: 494.136400, time: 494.213000, offp: -0.015502, speedup: 0.999845
%524, mode: 1, baseline: 494.136400, time: 485.714000, offp: 1.704469, speedup: 1.017340
%530, mode: 0, baseline: 494.136400, time: 494.264000, offp: -0.025823, speedup: 0.999742
%530, mode: 1, baseline: 494.136400, time: 485.810000, offp: 1.685041, speedup: 1.017139
%536, mode: 0, baseline: 494.136400, time: 494.165000, offp: -0.005788, speedup: 0.999942
%536, mode: 1, baseline: 494.136400, time: 486.008000, offp: 1.644971, speedup: 1.016725
%540, mode: 0, baseline: 494.136400, time: 494.021000, offp: 0.023354, speedup: 1.000234
%540, mode: 1, baseline: 494.136400, time: 485.625000, offp: 1.722480, speedup: 1.017527
%546, mode: 0, baseline: 494.136400, time: 494.349000, offp: -0.043025, speedup: 0.999570
%546, mode: 1, baseline: 494.136400, time: 485.891000, offp: 1.668649, speedup: 1.016970
%552, mode: 0, baseline: 494.136400, time: 494.287000, offp: -0.030477, speedup: 0.999695
%552, mode: 1, baseline: 494.136400, time: 485.866000, offp: 1.673708, speedup: 1.017022
%558, mode: 0, baseline: 494.136400, time: 493.986000, offp: 0.030437, speedup: 1.000304
%558, mode: 1, baseline: 494.136400, time: 485.871000, offp: 1.672696, speedup: 1.017012
%564, mode: 0, baseline: 494.136400, time: 494.257000, offp: -0.024406, speedup: 0.999756
%564, mode: 1, baseline: 494.136400, time: 485.585000, offp: 1.730575, speedup: 1.017611
%570, mode: 0, baseline: 494.136400, time: 494.479000, offp: -0.069333, speedup: 0.999307
%570, mode: 1, baseline: 494.136400, time: 485.768000, offp: 1.693540, speedup: 1.017227
%576, mode: 0, baseline: 494.136400, time: 494.218000, offp: -0.016514, speedup: 0.999835
%576, mode: 1, baseline: 494.136400, time: 485.748000, offp: 1.697588, speedup: 1.017269
%582, mode: 0, baseline: 494.136400, time: 494.071000, offp: 0.013235, speedup: 1.000132
%582, mode: 1, baseline: 494.136400, time: 485.796000, offp: 1.687874, speedup: 1.017169
%589, mode: 0, baseline: 494.136400, time: 494.104000, offp: 0.006557, speedup: 1.000066
%589, mode: 1, baseline: 494.136400, time: 489.102000, offp: 1.018828, speedup: 1.010293
%595, mode: 0, baseline: 494.136400, time: 494.072000, offp: 0.013033, speedup: 1.000130
%595, mode: 1, baseline: 494.136400, time: 489.057000, offp: 1.027935, speedup: 1.010386
%601, mode: 0, baseline: 494.136400, time: 494.065000, offp: 0.014449, speedup: 1.000145
%601, mode: 1, baseline: 494.136400, time: 489.330000, offp: 0.972687, speedup: 1.009822
%607, mode: 0, baseline: 494.136400, time: 494.709000, offp: -0.115879, speedup: 0.998843
%607, mode: 1, baseline: 494.136400, time: 489.107000, offp: 1.017816, speedup: 1.010283
%613, mode: 0, baseline: 494.136400, time: 494.301000, offp: -0.033311, speedup: 0.999667
%613, mode: 1, baseline: 494.136400, time: 489.293000, offp: 0.980175, speedup: 1.009899
%619, mode: 0, baseline: 494.136400, time: 494.104000, offp: 0.006557, speedup: 1.000066
%619, mode: 1, baseline: 494.136400, time: 489.024000, offp: 1.034613, speedup: 1.010454
%625, mode: 0, baseline: 494.136400, time: 494.305000, offp: -0.034120, speedup: 0.999659
%625, mode: 1, baseline: 494.136400, time: 489.005000, offp: 1.038458, speedup: 1.010494
%631, mode: 0, baseline: 494.136400, time: 494.358000, offp: -0.044846, speedup: 0.999552
%631, mode: 1, baseline: 494.136400, time: 489.019000, offp: 1.035625, speedup: 1.010465
%637, mode: 0, baseline: 494.136400, time: 494.126000, offp: 0.002105, speedup: 1.000021
%637, mode: 1, baseline: 494.136400, time: 489.354000, offp: 0.967830, speedup: 1.009773
%641, mode: 0, baseline: 494.136400, time: 494.078000, offp: 0.011819, speedup: 1.000118
%641, mode: 1, baseline: 494.136400, time: 489.101000, offp: 1.019030, speedup: 1.010295
%647, mode: 0, baseline: 494.136400, time: 494.254000, offp: -0.023799, speedup: 0.999762
%647, mode: 1, baseline: 494.136400, time: 489.471000, offp: 0.944152, speedup: 1.009532
%653, mode: 0, baseline: 494.136400, time: 494.281000, offp: -0.029263, speedup: 0.999707
%653, mode: 1, baseline: 494.136400, time: 489.208000, offp: 0.997376, speedup: 1.010074
%659, mode: 0, baseline: 494.136400, time: 494.754000, offp: -0.124986, speedup: 0.998752
%659, mode: 1, baseline: 494.136400, time: 489.334000, offp: 0.971877, speedup: 1.009814
%665, mode: 0, baseline: 494.136400, time: 494.503000, offp: -0.074190, speedup: 0.999259
%665, mode: 1, baseline: 494.136400, time: 489.105000, offp: 1.018221, speedup: 1.010287
%671, mode: 0, baseline: 494.136400, time: 494.024000, offp: 0.022747, speedup: 1.000228
%671, mode: 1, baseline: 494.136400, time: 489.090000, offp: 1.021256, speedup: 1.010318
%677, mode: 0, baseline: 494.136400, time: 493.977000, offp: 0.032258, speedup: 1.000323
%677, mode: 1, baseline: 494.136400, time: 489.188000, offp: 1.001424, speedup: 1.010116
%683, mode: 0, baseline: 494.136400, time: 494.420000, offp: -0.057393, speedup: 0.999426
%683, mode: 1, baseline: 494.136400, time: 489.293000, offp: 0.980175, speedup: 1.009899
%690, mode: 0, baseline: 494.136400, time: 494.023000, offp: 0.022949, speedup: 1.000230
%690, mode: 1, baseline: 494.136400, time: 491.724000, offp: 0.488205, speedup: 1.004906
%696, mode: 0, baseline: 494.136400, time: 494.096000, offp: 0.008176, speedup: 1.000082
%696, mode: 1, baseline: 494.136400, time: 491.936000, offp: 0.445302, speedup: 1.004473
%702, mode: 0, baseline: 494.136400, time: 494.418000, offp: -0.056988, speedup: 0.999430
%702, mode: 1, baseline: 494.136400, time: 491.780000, offp: 0.476872, speedup: 1.004792
%708, mode: 0, baseline: 494.136400, time: 494.055000, offp: 0.016473, speedup: 1.000165
%708, mode: 1, baseline: 494.136400, time: 491.745000, offp: 0.483955, speedup: 1.004863
%714, mode: 0, baseline: 494.136400, time: 494.478000, offp: -0.069131, speedup: 0.999309
%714, mode: 1, baseline: 494.136400, time: 491.858000, offp: 0.461087, speedup: 1.004632
%720, mode: 0, baseline: 494.136400, time: 494.295000, offp: -0.032096, speedup: 0.999679
%720, mode: 1, baseline: 494.136400, time: 491.899000, offp: 0.452790, speedup: 1.004548
%726, mode: 0, baseline: 494.136400, time: 494.275000, offp: -0.028049, speedup: 0.999720
%726, mode: 1, baseline: 494.136400, time: 491.920000, offp: 0.448540, speedup: 1.004506
%732, mode: 0, baseline: 494.136400, time: 493.946000, offp: 0.038532, speedup: 1.000385
%732, mode: 1, baseline: 494.136400, time: 491.808000, offp: 0.471206, speedup: 1.004734
%738, mode: 0, baseline: 494.136400, time: 494.127000, offp: 0.001902, speedup: 1.000019
%738, mode: 1, baseline: 494.136400, time: 491.718000, offp: 0.489420, speedup: 1.004918
%742, mode: 0, baseline: 494.136400, time: 493.782000, offp: 0.071721, speedup: 1.000718
%742, mode: 1, baseline: 494.136400, time: 491.963000, offp: 0.439838, speedup: 1.004418
%748, mode: 0, baseline: 494.136400, time: 494.438000, offp: -0.061036, speedup: 0.999390
%748, mode: 1, baseline: 494.136400, time: 491.991000, offp: 0.434172, speedup: 1.004361
%754, mode: 0, baseline: 494.136400, time: 494.339000, offp: -0.041001, speedup: 0.999590
%754, mode: 1, baseline: 494.136400, time: 491.942000, offp: 0.444088, speedup: 1.004461
%760, mode: 0, baseline: 494.136400, time: 494.282000, offp: -0.029466, speedup: 0.999705
%760, mode: 1, baseline: 494.136400, time: 491.972000, offp: 0.438017, speedup: 1.004399
%766, mode: 0, baseline: 494.136400, time: 494.279000, offp: -0.028858, speedup: 0.999711
%766, mode: 1, baseline: 494.136400, time: 491.993000, offp: 0.433767, speedup: 1.004357
%772, mode: 0, baseline: 494.136400, time: 494.165000, offp: -0.005788, speedup: 0.999942
%772, mode: 1, baseline: 494.136400, time: 491.956000, offp: 0.441255, speedup: 1.004432
%778, mode: 0, baseline: 494.136400, time: 493.978000, offp: 0.032056, speedup: 1.000321
%778, mode: 1, baseline: 494.136400, time: 492.069000, offp: 0.418387, speedup: 1.004201
%784, mode: 0, baseline: 494.136400, time: 494.472000, offp: -0.067916, speedup: 0.999321
%784, mode: 1, baseline: 494.136400, time: 491.872000, offp: 0.458254, speedup: 1.004604
%791, mode: 0, baseline: 494.136400, time: 494.303000, offp: -0.033715, speedup: 0.999663
%791, mode: 1, baseline: 494.136400, time: 491.192000, offp: 0.595868, speedup: 1.005994
%797, mode: 0, baseline: 494.136400, time: 494.513000, offp: -0.076214, speedup: 0.999238
%797, mode: 1, baseline: 494.136400, time: 491.240000, offp: 0.586154, speedup: 1.005896
%803, mode: 0, baseline: 494.136400, time: 494.502000, offp: -0.073988, speedup: 0.999261
%803, mode: 1, baseline: 494.136400, time: 491.270000, offp: 0.580083, speedup: 1.005835
%809, mode: 0, baseline: 494.136400, time: 493.985000, offp: 0.030639, speedup: 1.000306
%809, mode: 1, baseline: 494.136400, time: 491.101000, offp: 0.614284, speedup: 1.006181
%815, mode: 0, baseline: 494.136400, time: 494.187000, offp: -0.010240, speedup: 0.999898
%815, mode: 1, baseline: 494.136400, time: 491.059000, offp: 0.622784, speedup: 1.006267
%821, mode: 0, baseline: 494.136400, time: 493.982000, offp: 0.031246, speedup: 1.000313
%821, mode: 1, baseline: 494.136400, time: 491.185000, offp: 0.597284, speedup: 1.006009
%827, mode: 0, baseline: 494.136400, time: 493.964000, offp: 0.034889, speedup: 1.000349
%827, mode: 1, baseline: 494.136400, time: 491.029000, offp: 0.628855, speedup: 1.006328
%833, mode: 0, baseline: 494.136400, time: 494.195000, offp: -0.011859, speedup: 0.999881
%833, mode: 1, baseline: 494.136400, time: 491.222000, offp: 0.589797, speedup: 1.005933
