

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%673, mode: 1, baseline: 2036.640000, time: 1925.939000, offp: 5.435472, speedup: 1.057479
%679, mode: 0, baseline: 2036.640000, time: 2041.031000, offp: -0.215600, speedup: 0.997849
%679, mode: 1, baseline: 2036.640000, time: 1930.158000, offp: 5.228317, speedup: 1.055168
%685, mode: 0, baseline: 2036.640000, time: 2044.708000, offp: -0.396143, speedup: 0.996054
%685, mode: 1, baseline: 2036.640000, time: 1927.423000, offp: 5.362607, speedup: 1.056665
%691, mode: 0, baseline: 2036.640000, time: 2040.727000, offp: -0.200674, speedup: 0.997997
%691, mode: 1, baseline: 2036.640000, time: 1926.538000, offp: 5.406061, speedup: 1.057150
%697, mode: 0, baseline: 2036.640000, time: 2041.264000, offp: -0.227041, speedup: 0.997735
%697, mode: 1, baseline: 2036.640000, time: 1929.200000, offp: 5.275355, speedup: 1.055691
%703, mode: 0, baseline: 2036.640000, time: 2040.749000, offp: -0.201754, speedup: 0.997987
%703, mode: 1, baseline: 2036.640000, time: 1927.945000, offp: 5.336977, speedup: 1.056379
%709, mode: 0, baseline: 2036.640000, time: 2041.076000, offp: -0.217810, speedup: 0.997827
%709, mode: 1, baseline: 2036.640000, time: 1926.852000, offp: 5.390643, speedup: 1.056978
%718, mode: 0, baseline: 2036.640000, time: 2044.788000, offp: -0.400071, speedup: 0.996015
%718, mode: 1, baseline: 2036.640000, time: 1902.841000, offp: 6.569595, speedup: 1.070315
%724, mode: 0, baseline: 2036.640000, time: 2044.842000, offp: -0.402722, speedup: 0.995989
%724, mode: 1, baseline: 2036.640000, time: 1896.523000, offp: 6.879812, speedup: 1.073881
%730, mode: 0, baseline: 2036.640000, time: 2041.248000, offp: -0.226255, speedup: 0.997743
%730, mode: 1, baseline: 2036.640000, time: 1902.500000, offp: 6.586338, speedup: 1.070507
%736, mode: 0, baseline: 2036.640000, time: 2044.788000, offp: -0.400071, speedup: 0.996015
%736, mode: 1, baseline: 2036.640000, time: 1902.348000, offp: 6.593802, speedup: 1.070593
%742, mode: 0, baseline: 2036.640000, time: 2040.973000, offp: -0.212752, speedup: 0.997877
%742, mode: 1, baseline: 2036.640000, time: 1900.600000, offp: 6.679629, speedup: 1.071577
%748, mode: 0, baseline: 2036.640000, time: 2045.102000, offp: -0.415488, speedup: 0.995862
%748, mode: 1, baseline: 2036.640000, time: 1898.668000, offp: 6.774491, speedup: 1.072668
%754, mode: 0, baseline: 2036.640000, time: 2041.348000, offp: -0.231165, speedup: 0.997694
%754, mode: 1, baseline: 2036.640000, time: 1909.909000, offp: 6.222553, speedup: 1.066354
%760, mode: 0, baseline: 2036.640000, time: 2041.083000, offp: -0.218153, speedup: 0.997823
%760, mode: 1, baseline: 2036.640000, time: 1905.636000, offp: 6.432359, speedup: 1.068746
%766, mode: 0, baseline: 2036.640000, time: 2041.021000, offp: -0.215109, speedup: 0.997854
%766, mode: 1, baseline: 2036.640000, time: 1904.467000, offp: 6.489758, speedup: 1.069402
%770, mode: 0, baseline: 2036.640000, time: 2044.946000, offp: -0.407829, speedup: 0.995938
%770, mode: 1, baseline: 2036.640000, time: 1903.466000, offp: 6.538907, speedup: 1.069964
%776, mode: 0, baseline: 2036.640000, time: 2041.193000, offp: -0.223554, speedup: 0.997769
%776, mode: 1, baseline: 2036.640000, time: 1902.145000, offp: 6.603769, speedup: 1.070707
%782, mode: 0, baseline: 2036.640000, time: 2044.662000, offp: -0.393884, speedup: 0.996077
%782, mode: 1, baseline: 2036.640000, time: 1900.678000, offp: 6.675799, speedup: 1.071533
%788, mode: 0, baseline: 2036.640000, time: 2044.797000, offp: -0.400513, speedup: 0.996011
%788, mode: 1, baseline: 2036.640000, time: 1895.915000, offp: 6.909665, speedup: 1.074225
%794, mode: 0, baseline: 2036.640000, time: 2040.982000, offp: -0.213194, speedup: 0.997873
%794, mode: 1, baseline: 2036.640000, time: 1913.418000, offp: 6.050259, speedup: 1.064399
%800, mode: 0, baseline: 2036.640000, time: 2041.083000, offp: -0.218153, speedup: 0.997823
%800, mode: 1, baseline: 2036.640000, time: 1905.502000, offp: 6.438939, speedup: 1.068821
%806, mode: 0, baseline: 2036.640000, time: 2041.113000, offp: -0.219626, speedup: 0.997809
