

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%503, mode: 1, baseline: 2036.793400, time: 1982.686000, offp: 2.656499, speedup: 1.027290
%512, mode: 0, baseline: 2036.793400, time: 2036.608000, offp: 0.009103, speedup: 1.000091
%512, mode: 1, baseline: 2036.793400, time: 1966.897000, offp: 3.431688, speedup: 1.035536
%518, mode: 0, baseline: 2036.793400, time: 2036.682000, offp: 0.005469, speedup: 1.000055
%518, mode: 1, baseline: 2036.793400, time: 1959.577000, offp: 3.791077, speedup: 1.039405
%524, mode: 0, baseline: 2036.793400, time: 2035.875000, offp: 0.045090, speedup: 1.000451
%524, mode: 1, baseline: 2036.793400, time: 1961.085000, offp: 3.717039, speedup: 1.038605
%530, mode: 0, baseline: 2036.793400, time: 2036.704000, offp: 0.004389, speedup: 1.000044
%530, mode: 1, baseline: 2036.793400, time: 1962.707000, offp: 3.637404, speedup: 1.037747
%536, mode: 0, baseline: 2036.793400, time: 2036.127000, offp: 0.032718, speedup: 1.000327
%536, mode: 1, baseline: 2036.793400, time: 1958.431000, offp: 3.847342, speedup: 1.040013
%542, mode: 0, baseline: 2036.793400, time: 2036.849000, offp: -0.002730, speedup: 0.999973
%542, mode: 1, baseline: 2036.793400, time: 1958.940000, offp: 3.822351, speedup: 1.039743
%548, mode: 0, baseline: 2036.793400, time: 2036.658000, offp: 0.006648, speedup: 1.000066
%548, mode: 1, baseline: 2036.793400, time: 1961.941000, offp: 3.675012, speedup: 1.038152
%554, mode: 0, baseline: 2036.793400, time: 2036.396000, offp: 0.019511, speedup: 1.000195
%554, mode: 1, baseline: 2036.793400, time: 1956.847000, offp: 3.925111, speedup: 1.040855
%560, mode: 0, baseline: 2036.793400, time: 2036.619000, offp: 0.008562, speedup: 1.000086
%560, mode: 1, baseline: 2036.793400, time: 1962.394000, offp: 3.652771, speedup: 1.037913
%564, mode: 0, baseline: 2036.793400, time: 2037.003000, offp: -0.010291, speedup: 0.999897
%564, mode: 1, baseline: 2036.793400, time: 1959.076000, offp: 3.815674, speedup: 1.039670
%570, mode: 0, baseline: 2036.793400, time: 2036.606000, offp: 0.009201, speedup: 1.000092
%570, mode: 1, baseline: 2036.793400, time: 1963.167000, offp: 3.614819, speedup: 1.037504
%576, mode: 0, baseline: 2036.793400, time: 2035.978000, offp: 0.040034, speedup: 1.000400
%576, mode: 1, baseline: 2036.793400, time: 1961.484000, offp: 3.697449, speedup: 1.038394
%582, mode: 0, baseline: 2036.793400, time: 2036.503000, offp: 0.014258, speedup: 1.000143
%582, mode: 1, baseline: 2036.793400, time: 1961.021000, offp: 3.720181, speedup: 1.038639
%588, mode: 0, baseline: 2036.793400, time: 2036.449000, offp: 0.016909, speedup: 1.000169
%588, mode: 1, baseline: 2036.793400, time: 1957.175000, offp: 3.909007, speedup: 1.040680
%594, mode: 0, baseline: 2036.793400, time: 2036.855000, offp: -0.003024, speedup: 0.999970
%594, mode: 1, baseline: 2036.793400, time: 1958.298000, offp: 3.853871, speedup: 1.040083
%600, mode: 0, baseline: 2036.793400, time: 2036.206000, offp: 0.028839, speedup: 1.000288
%600, mode: 1, baseline: 2036.793400, time: 1958.485000, offp: 3.844690, speedup: 1.039984
%606, mode: 0, baseline: 2036.793400, time: 2036.519000, offp: 0.013472, speedup: 1.000135
%606, mode: 1, baseline: 2036.793400, time: 1960.942000, offp: 3.724060, speedup: 1.038681
%615, mode: 0, baseline: 2036.793400, time: 2036.151000, offp: 0.031540, speedup: 1.000315
%615, mode: 1, baseline: 2036.793400, time: 1932.673000, offp: 5.111977, speedup: 1.053874
%621, mode: 0, baseline: 2036.793400, time: 2036.251000, offp: 0.026630, speedup: 1.000266
%621, mode: 1, baseline: 2036.793400, time: 1924.694000, offp: 5.503720, speedup: 1.058243
%627, mode: 0, baseline: 2036.793400, time: 2036.628000, offp: 0.008121, speedup: 1.000081
%627, mode: 1, baseline: 2036.793400, time: 1920.717000, offp: 5.698978, speedup: 1.060434
%633, mode: 0, baseline: 2036.793400, time: 2036.362000, offp: 0.021180, speedup: 1.000212
%633, mode: 1, baseline: 2036.793400, time: 1923.410000, offp: 5.566760, speedup: 1.058949
%639, mode: 0, baseline: 2036.793400, time: 2036.372000, offp: 0.020689, speedup: 1.000207
%639, mode: 1, baseline: 2036.793400, time: 1919.341000, offp: 5.766535, speedup: 1.061194
%645, mode: 0, baseline: 2036.793400, time: 2036.572000, offp: 0.010870, speedup: 1.000109
%645, mode: 1, baseline: 2036.793400, time: 1920.814000, offp: 5.694215, speedup: 1.060380
%651, mode: 0, baseline: 2036.793400, time: 2036.108000, offp: 0.033651, speedup: 1.000337
%651, mode: 1, baseline: 2036.793400, time: 1926.605000, offp: 5.409896, speedup: 1.057193
%657, mode: 0, baseline: 2036.793400, time: 2036.521000, offp: 0.013374, speedup: 1.000134
%657, mode: 1, baseline: 2036.793400, time: 1919.356000, offp: 5.765798, speedup: 1.061186
%663, mode: 0, baseline: 2036.793400, time: 2036.104000, offp: 0.033847, speedup: 1.000339
%663, mode: 1, baseline: 2036.793400, time: 1928.903000, offp: 5.297071, speedup: 1.055934
%667, mode: 0, baseline: 2036.793400, time: 2036.233000, offp: 0.027514, speedup: 1.000275
%667, mode: 1, baseline: 2036.793400, time: 1930.461000, offp: 5.220579, speedup: 1.055081
%673, mode: 0, baseline: 2036.793400, time: 2036.006000, offp: 0.038659, speedup: 1.000387
%673, mode: 1, baseline: 2036.793400, time: 1928.018000, offp: 5.340522, speedup: 1.056418
%679, mode: 0, baseline: 2036.793400, time: 2036.496000, offp: 0.014601, speedup: 1.000146
%679, mode: 1, baseline: 2036.793400, time: 1930.191000, offp: 5.233835, speedup: 1.055229
%685, mode: 0, baseline: 2036.793400, time: 2036.358000, offp: 0.021377, speedup: 1.000214
%685, mode: 1, baseline: 2036.793400, time: 1928.221000, offp: 5.330555, speedup: 1.056307
%691, mode: 0, baseline: 2036.793400, time: 2036.446000, offp: 0.017056, speedup: 1.000171
%691, mode: 1, baseline: 2036.793400, time: 1928.319000, offp: 5.325744, speedup: 1.056253
%697, mode: 0, baseline: 2036.793400, time: 2036.380000, offp: 0.020297, speedup: 1.000203
%697, mode: 1, baseline: 2036.793400, time: 1920.498000, offp: 5.709730, speedup: 1.060555
%703, mode: 0, baseline: 2036.793400, time: 2036.715000, offp: 0.003849, speedup: 1.000038
%703, mode: 1, baseline: 2036.793400, time: 1920.262000, offp: 5.721317, speedup: 1.060685
%709, mode: 0, baseline: 2036.793400, time: 2036.643000, offp: 0.007384, speedup: 1.000074
%709, mode: 1, baseline: 2036.793400, time: 1923.525000, offp: 5.561114, speedup: 1.058886
%718, mode: 0, baseline: 2036.793400, time: 2036.311000, offp: 0.023684, speedup: 1.000237
%718, mode: 1, baseline: 2036.793400, time: 1892.346000, offp: 7.091902, speedup: 1.076332
%724, mode: 0, baseline: 2036.793400, time: 2036.226000, offp: 0.027858, speedup: 1.000279
%724, mode: 1, baseline: 2036.793400, time: 1894.009000, offp: 7.010254, speedup: 1.075387
%730, mode: 0, baseline: 2036.793400, time: 2036.456000, offp: 0.016565, speedup: 1.000166
%730, mode: 1, baseline: 2036.793400, time: 1890.784000, offp: 7.168592, speedup: 1.077222
%736, mode: 0, baseline: 2036.793400, time: 2036.353000, offp: 0.021622, speedup: 1.000216
%736, mode: 1, baseline: 2036.793400, time: 1894.407000, offp: 6.990714, speedup: 1.075161
%742, mode: 0, baseline: 2036.793400, time: 2036.581000, offp: 0.010428, speedup: 1.000104
%742, mode: 1, baseline: 2036.793400, time: 1894.082000, offp: 7.006670, speedup: 1.075346
%748, mode: 0, baseline: 2036.793400, time: 2036.071000, offp: 0.035468, speedup: 1.000355
%748, mode: 1, baseline: 2036.793400, time: 1898.022000, offp: 6.813229, speedup: 1.073114
%754, mode: 0, baseline: 2036.793400, time: 2036.842000, offp: -0.002386, speedup: 0.999976
%754, mode: 1, baseline: 2036.793400, time: 1899.577000, offp: 6.736884, speedup: 1.072235
%760, mode: 0, baseline: 2036.793400, time: 2036.603000, offp: 0.009348, speedup: 1.000093
%760, mode: 1, baseline: 2036.793400, time: 1896.594000, offp: 6.883339, speedup: 1.073922
%766, mode: 0, baseline: 2036.793400, time: 2036.553000, offp: 0.011803, speedup: 1.000118
%766, mode: 1, baseline: 2036.793400, time: 1902.400000, offp: 6.598283, speedup: 1.070644
%770, mode: 0, baseline: 2036.793400, time: 2036.112000, offp: 0.033455, speedup: 1.000335
%770, mode: 1, baseline: 2036.793400, time: 1894.108000, offp: 7.005394, speedup: 1.075331
%776, mode: 0, baseline: 2036.793400, time: 2036.725000, offp: 0.003358, speedup: 1.000034
%776, mode: 1, baseline: 2036.793400, time: 1897.692000, offp: 6.829431, speedup: 1.073300
%782, mode: 0, baseline: 2036.793400, time: 2036.906000, offp: -0.005528, speedup: 0.999945
%782, mode: 1, baseline: 2036.793400, time: 1894.312000, offp: 6.995378, speedup: 1.075215
%788, mode: 0, baseline: 2036.793400, time: 2036.400000, offp: 0.019315, speedup: 1.000193
%788, mode: 1, baseline: 2036.793400, time: 1890.758000, offp: 7.169868, speedup: 1.077236
