

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%601, mode: 0, baseline: 494.363800, time: 494.316000, offp: 0.009669, speedup: 1.000097
%601, mode: 1, baseline: 494.363800, time: 489.199000, offp: 1.044737, speedup: 1.010558
%607, mode: 0, baseline: 494.363800, time: 494.158000, offp: 0.041629, speedup: 1.000416
%607, mode: 1, baseline: 494.363800, time: 489.012000, offp: 1.082563, speedup: 1.010944
%613, mode: 0, baseline: 494.363800, time: 494.636000, offp: -0.055061, speedup: 0.999450
%613, mode: 1, baseline: 494.363800, time: 488.936000, offp: 1.097936, speedup: 1.011101
%619, mode: 0, baseline: 494.363800, time: 494.150000, offp: 0.043248, speedup: 1.000433
%619, mode: 1, baseline: 494.363800, time: 489.161000, offp: 1.052423, speedup: 1.010636
%625, mode: 0, baseline: 494.363800, time: 494.143000, offp: 0.044663, speedup: 1.000447
%625, mode: 1, baseline: 494.363800, time: 489.093000, offp: 1.066178, speedup: 1.010777
%631, mode: 0, baseline: 494.363800, time: 494.033000, offp: 0.066914, speedup: 1.000670
%631, mode: 1, baseline: 494.363800, time: 489.109000, offp: 1.062942, speedup: 1.010744
%637, mode: 0, baseline: 494.363800, time: 494.055000, offp: 0.062464, speedup: 1.000625
%637, mode: 1, baseline: 494.363800, time: 489.350000, offp: 1.014192, speedup: 1.010246
%641, mode: 0, baseline: 494.363800, time: 494.509000, offp: -0.029371, speedup: 0.999706
%641, mode: 1, baseline: 494.363800, time: 489.341000, offp: 1.016013, speedup: 1.010264
%647, mode: 0, baseline: 494.363800, time: 494.512000, offp: -0.029978, speedup: 0.999700
%647, mode: 1, baseline: 494.363800, time: 489.342000, offp: 1.015811, speedup: 1.010262
%653, mode: 0, baseline: 494.363800, time: 494.184000, offp: 0.036370, speedup: 1.000364
%653, mode: 1, baseline: 494.363800, time: 489.351000, offp: 1.013990, speedup: 1.010244
%659, mode: 0, baseline: 494.363800, time: 494.052000, offp: 0.063071, speedup: 1.000631
%659, mode: 1, baseline: 494.363800, time: 489.269000, offp: 1.030577, speedup: 1.010413
%665, mode: 0, baseline: 494.363800, time: 494.233000, offp: 0.026458, speedup: 1.000265
%665, mode: 1, baseline: 494.363800, time: 489.186000, offp: 1.047366, speedup: 1.010585
%671, mode: 0, baseline: 494.363800, time: 494.200000, offp: 0.033133, speedup: 1.000331
%671, mode: 1, baseline: 494.363800, time: 489.366000, offp: 1.010956, speedup: 1.010213
%677, mode: 0, baseline: 494.363800, time: 494.050000, offp: 0.063476, speedup: 1.000635
%677, mode: 1, baseline: 494.363800, time: 489.154000, offp: 1.053839, speedup: 1.010651
%683, mode: 0, baseline: 494.363800, time: 494.227000, offp: 0.027672, speedup: 1.000277
%683, mode: 1, baseline: 494.363800, time: 489.198000, offp: 1.044939, speedup: 1.010560
%690, mode: 0, baseline: 494.363800, time: 493.978000, offp: 0.078040, speedup: 1.000781
%690, mode: 1, baseline: 494.363800, time: 491.783000, offp: 0.522045, speedup: 1.005248
%696, mode: 0, baseline: 494.363800, time: 494.047000, offp: 0.064082, speedup: 1.000641
%696, mode: 1, baseline: 494.363800, time: 491.990000, offp: 0.480173, speedup: 1.004825
%702, mode: 0, baseline: 494.363800, time: 494.301000, offp: 0.012703, speedup: 1.000127
%702, mode: 1, baseline: 494.363800, time: 491.824000, offp: 0.513751, speedup: 1.005164
%708, mode: 0, baseline: 494.363800, time: 494.181000, offp: 0.036977, speedup: 1.000370
%708, mode: 1, baseline: 494.363800, time: 491.655000, offp: 0.547937, speedup: 1.005510
%714, mode: 0, baseline: 494.363800, time: 494.865000, offp: -0.101383, speedup: 0.998987
%714, mode: 1, baseline: 494.363800, time: 491.987000, offp: 0.480780, speedup: 1.004831
%720, mode: 0, baseline: 494.363800, time: 494.068000, offp: 0.059834, speedup: 1.000599
%720, mode: 1, baseline: 494.363800, time: 491.759000, offp: 0.526899, speedup: 1.005297
%726, mode: 0, baseline: 494.363800, time: 494.410000, offp: -0.009345, speedup: 0.999907
%726, mode: 1, baseline: 494.363800, time: 491.833000, offp: 0.511931, speedup: 1.005146
%732, mode: 0, baseline: 494.363800, time: 494.567000, offp: -0.041103, speedup: 0.999589
%732, mode: 1, baseline: 494.363800, time: 492.009000, offp: 0.476329, speedup: 1.004786
%738, mode: 0, baseline: 494.363800, time: 494.148000, offp: 0.043652, speedup: 1.000437
%738, mode: 1, baseline: 494.363800, time: 492.037000, offp: 0.470666, speedup: 1.004729
%742, mode: 0, baseline: 494.363800, time: 493.826000, offp: 0.108786, speedup: 1.001089
%742, mode: 1, baseline: 494.363800, time: 491.923000, offp: 0.493725, speedup: 1.004962
%748, mode: 0, baseline: 494.363800, time: 494.295000, offp: 0.013917, speedup: 1.000139
%748, mode: 1, baseline: 494.363800, time: 492.132000, offp: 0.451449, speedup: 1.004535
%754, mode: 0, baseline: 494.363800, time: 494.020000, offp: 0.069544, speedup: 1.000696
%754, mode: 1, baseline: 494.363800, time: 491.979000, offp: 0.482398, speedup: 1.004847
%760, mode: 0, baseline: 494.363800, time: 494.374000, offp: -0.002063, speedup: 0.999979
%760, mode: 1, baseline: 494.363800, time: 491.805000, offp: 0.517595, speedup: 1.005203
%766, mode: 0, baseline: 494.363800, time: 494.636000, offp: -0.055061, speedup: 0.999450
%766, mode: 1, baseline: 494.363800, time: 491.824000, offp: 0.513751, speedup: 1.005164
%772, mode: 0, baseline: 494.363800, time: 494.225000, offp: 0.028076, speedup: 1.000281
%772, mode: 1, baseline: 494.363800, time: 491.994000, offp: 0.479364, speedup: 1.004817
